osm_id,is_sidepath_estimation
24350549,true
24698224,true
16847691,true
23187413,false
24664943,true
22967533,true
24379677,true
23064790,true
5235083,true
24686229,true
24555949,true
23547535,true
6931067,true
24554189,false
22792469,true
4581935,true
22699211,true
22277351,true
14097371,true
23544910,true
5883098,true
23446504,true
7726225,true
23451478,true
24432170,true
24613177,true
24353940,true
4992726,true
23853560,true
24466229,false
24162261,false
24159366,false
23954051,true
23433941,true
23484449,true
24452414,true
23651182,true
19852335,true
23904892,false
8074053,true
24851739,false
10354059,true
23080558,true
23651737,true
14484640,true
22929166,false
24409703,true
24802759,true
12522051,true
24861783,true
24378524,true
23009166,true
4647497,true
23995139,true
9702277,true
12521704,true
22113221,true
23433921,false
13841020,true
24620273,true
24480641,true
20890804,true
4827989,true
24149205,false
23046065,true
24674232,true
23105559,true
24359077,true
24304185,true
23192647,true
14839781,true
24796251,true
23547536,false
19852337,true
8772762,true
7004976,true
23945255,true
24216986,true
24367462,true
14648918,false
8067820,true
24439953,true
23417088,true
24397280,true
24164401,true
23724410,true
23067929,true
24164143,true
23218944,true
23319305,false
23545614,true
22114621,true
11645087,true
24513257,true
23532350,true
4808203,true
24235812,true
4791782,false
24693461,true
24359406,true
4838948,true
23952482,true
24206123,true
6611485,true
24865705,true
24161088,true
23777624,true
14167818,true
4750354,true
24166372,true
24386702,true
19748388,true
23987264,true
21849639,false
24796753,true
23318543,true
22689154,true
16847692,true
13217004,true
4838993,true
24320534,true
22277342,true
22959906,true
4676002,true
24784619,true
22767441,true
4395450,true
24038390,true
22976899,true
22810555,true
24148135,true
24443322,true
24604624,true
18955795,false
23373096,true
23312873,true
23756108,true
23200691,true
23318807,true
8023795,true
24148127,true
22875696,true
22966751,true
24405613,true
24220098,true
19511044,true
16704523,true
4795803,true
23425045,true
23402528,true
4795805,true
24437131,false
23161262,true
4751950,true
24341044,true
4808201,true
18607406,false
5124110,true
24540927,true
24165711,true
22375356,true
22767675,true
8771655,true
22495209,true
24305963,true
10272567,true
24341067,false
24220391,true
13220751,true
22495266,true
13853646,false
23965463,true
22803810,true
23369885,true
5060055,true
22958041,true
11272491,false
4568572,false
22967029,true
22875997,true
8115574,true
23179860,true
22792467,false
14846545,true
5134300,true
14370822,false
22953300,true
24049216,true
23218331,true
22967551,false
4966480,true
24668164,true
23319076,true
13705898,true
24643598,false
23369880,true
22977067,true
23238900,true
12520340,true
24753357,true
4723262,true
14491565,true
24738682,true
5095720,true
4773027,true
24359045,true
24152039,false
22973449,false
9819290,true
22983177,true
24387302,true
24518458,true
23409957,true
24419618,true
12495435,true
24034710,true
4703788,true
23409965,true
24144975,false
24492511,true
23087725,true
5025820,true
9587166,true
23206532,true
23965195,true
23038287,false
22835979,false
23814668,true
24032488,true
23066445,true
24666560,false
23547944,true
23422563,true
22956531,true
8771557,true
12519881,true
4621156,true
23282878,true
23080217,true
13855234,true
23009141,true
15221249,true
4914026,true
8080582,true
24214637,true
23093971,true
16713388,true
22566019,true
5891484,true
19796466,true
23462601,true
24293691,false
23243655,false
24780196,false
5122552,false
24572752,true
21848459,true
19782719,false
8045349,true
21766864,true
4361348,false
23387213,true
23009144,true
23175674,true
24246751,true
22824499,false
23966255,true
23424482,true
16266503,true
23382142,true
23175998,true
24582545,true
23438360,true
4446703,true
8772534,true
24876724,true
24685937,false
23549423,true
14156479,true
23547066,false
10224940,true
14108797,true
24486875,true
24574544,true
4707819,true
15244990,true
9587063,true
13633411,true
8771044,true
24030055,true
4647496,true
24433171,true
8879332,false
16773697,true
23943780,true
7726228,true
12522525,true
23409959,true
12490754,false
23544909,true
23724718,true
19049228,true
23895872,true
21780879,true
15996873,true
24466478,false
13440525,true
23030123,true
10273751,true
23651177,true
23988144,true
23481697,true
22824487,true
5219348,true
23105220,true
24554191,false
24002408,true
11009179,true
4763418,true
24153905,true
24218184,true
18440290,true
23965429,true
22983168,false
12522448,true
14370649,true
13862510,true
22958286,true
24220403,false
6436508,true
5891480,true
4765345,false
22962665,true
15221253,true
4808132,true
4953627,true
24250379,true
24676468,true
23438368,true
24834605,true
23451020,true
13853632,true
24697045,false
23204550,true
13854660,true
23557739,true
4391550,true
10954029,false
10983071,true
4679360,false
24316667,true
8771328,true
22912265,true
23328057,true
9933937,true
24854067,true
24378835,true
21096665,true
24865699,true
9478725,true
8107139,true
23851987,true
24283621,true
4788439,true
8772341,true
23190967,true
22985055,true
24666559,true
24388989,true
16765819,true
24044557,true
23969925,true
8771136,true
24166364,true
24861798,true
23291264,true
10647792,true
10249142,false
24145053,true
23369888,true
23278549,true
23331808,true
16704530,true
13978547,true
4802846,false
12519219,true
23494765,true
24650345,true
18275333,true
23330402,true
23176002,true
8772113,true
24703844,true
23231163,true
8074084,true
9701969,false
21852047,true
24304182,true
9821777,true
23369887,true
16847684,true
23463414,false
22973535,true
24359034,true
10432861,false
23582013,true
24738917,true
23722557,true
24330108,true
11267933,true
24667615,false
23343242,true
4603201,true
23924869,true
8772613,true
23609074,false
22967593,true
22888471,true
24704290,false
24330100,true
9587045,true
